title,renamed_title,url,duration_seconds,occurence_intervals,randomly_sampled_intervals,relevant
Wow Moment: Rescuers race to save stranded whales,video_0533.mp4,https://youtu.be/Tgl51EsJ-zU,63,,"[18 sec, 33 sec]",FALSE
Baby sea lions trapped in La Jolla,video_0534.mp4,https://youtu.be/h07AIkRxmzA,131,,"[74 sec, 89 sec]",FALSE
DISTURBING: Whales wash up on the beach in Georgia,video_0535.mp4,https://youtu.be/ZdkpfpuCGzM,194,,"[11 sec, 26 sec]",FALSE
Stranded whale on Oregon beach euthanized,video_0537.mp4,https://youtu.be/aJ6eb2pXvOg,85,,"[36 sec, 51 sec]",FALSE
Virginia Beach police investigating deadly shooting on Whitney Court,video_0538.mp4,https://youtu.be/V2Sp6V3wbyU,28,,"[1 sec, 16 sec]",FALSE
Five Years Ago Today: A Poaching Vessel Goes Down,video_0539.mp4,https://youtu.be/M3dRSE4j8zQ,132,,"[106 sec, 121 sec]",FALSE
"Killer Whales (orcas) chase my boat in Active Pass, Vancouver Island Coast, BC Canada",video_0541.mp4,https://youtu.be/EtEoB9bWER8,221,,"[202 sec, 217 sec]",FALSE
INDONESIA 2020 | Aerial Cinematic Drone (4k),video_0543.mp4,https://youtu.be/Ed2zKpQm4-c,705,,"[6 sec, 21 sec]",FALSE
"""Malpelo Island""  Dive Expedition, Colombia 10.-18.02.2020",video_0545.mp4,https://youtu.be/CRx85-q08y4,355,,"[267 sec, 282 sec]",FALSE
"Scuba Diving in the Maldives - Tiger Sharks in Fuvamulah, Grey Reef Sharks, Green Sea Turtles",video_0547.mp4,https://youtu.be/lh8y7YZlyzE,276,,"[191 sec, 206 sec]",FALSE
"Schuylkill river fishing ,,,,,, August 1to10",video_0548.mp4,https://youtu.be/jbTaVw9X7fs,1149,,"[480 sec, 495 sec]",FALSE
"4to dia República Dominicana - PLAYITA, LAS GALERAS , SAMANÁ",video_0549.mp4,https://youtu.be/mL_dVpmtA5Y,741,,"[501 sec, 516 sec]",FALSE
Akula II SSN,video_0550.mp4,https://youtu.be/D8ZhkToa3l4,1652,,"[316 sec, 331 sec]",FALSE
Avalon Gall Dominates Women's Round 2 with Solid Effort for 7.33,video_0552.mp4,https://youtu.be/f7pg0QeXls8,37,,"[9 sec, 24 sec]",FALSE
Idaho's Kokanee Hatcheries,video_0554.mp4,https://youtu.be/Iy_vEjINBpI,245,,"[77 sec, 92 sec]",FALSE
AYO MAIN TANAH! | RC ADVENTURE | SCX10 II CLONE | AUSTAR KIT | JEEP WRANGLER HARDBODY,video_0555.mp4,https://youtu.be/jDYyjw6ojlk,100,,"[40 sec, 55 sec]",FALSE
2 beached whales taken to Tarpon Springs facility,video_0557.mp4,https://youtu.be/b7iJbj8tkUw,140,,"[58 sec, 73 sec]",FALSE
DB2019 - RDP: (Troll) Despacito - Luis Fonsi ft. Daddy Yankee,video_0558.mp4,https://youtu.be/fOjO_szyqds,15,,"[7 sec, 22 sec]",FALSE
Como transmitir câmera IP ao vivo para um site ou blog,video_0559.mp4,https://youtu.be/lHnDDgMUgtI,612,,"[67 sec, 82 sec]",FALSE
Que hacer en Mazunte Oaxaca Pueblo Mágico y sus hermosas playas,video_0560.mp4,https://youtu.be/uw9cLrQM1Pk,118,,"[21 sec, 36 sec]",FALSE
Bystanders help save pod of beached whales,video_0562.mp4,https://youtu.be/LEpyhZ5rQLs,46,,"[22 sec, 37 sec]",FALSE
Help Us Protect Cabo Verde's Sea Turtles,video_0563.mp4,https://youtu.be/5i2frhQKn-g,718,,"[493 sec, 508 sec]",FALSE
Lazy anchovies and sardines in the Kelp Forest 😴🐟🐟 | Live From Monterey Bay!,video_0565.mp4,https://youtu.be/ECWGcmvZpV8,385,,"[6 sec, 21 sec]",FALSE
Couple lost on Valentines Day hike is rescued,video_0566.mp4,https://youtu.be/nkP4yVwOhCI,76,,"[28 sec, 43 sec]",FALSE
Gray Whale Trio Migrates With Dolphin Companions | Capt. Dave's Dana Point Whale Watching,video_0567.mp4,https://youtu.be/gFEIKBDdGcw,85,,"[62 sec, 77 sec]",FALSE
Chaweng Beach Koh Samui Thailand,video_0568.mp4,https://youtu.be/GY6taj-Jq6c,139,,"[1 sec, 16 sec]",FALSE
Yeison Vargas SS 2020 Class From Ezequier Baseball Academy)AT Bat Date: 09.08.2019,video_0569.mp4,https://youtu.be/F8Z6uFof2hc,93,,"[60 sec, 75 sec]",FALSE
Hammerhead,video_0570.mp4,https://youtu.be/XLa7-yEe6mw,31,,"[3 sec, 18 sec]",FALSE
"THOUSANDS OF FISH!!- Offshore Fishing- Orange Beach, Alabama",video_0572.mp4,https://youtu.be/XE3X-qojbN0,627,,"[465 sec, 480 sec]",FALSE
"Island Tour of Turks and Caicos, Providenciales (2020)",video_0573.mp4,https://youtu.be/mCDhahtg5zY,241,,"[213 sec, 228 sec]",FALSE
Dwarf Minke Whales - Great Barrier Reef,video_0574.mp4,https://youtu.be/VVIocpGPtCk,60,,"[39 sec, 54 sec]",FALSE
RAFT deutsch 🦈 S2E60: Schnittige Seiten & Schrott tauchen  🦈 german gameplay,video_0575.mp4,https://youtu.be/Qy5I9LWfb2I,1973,,"[160 sec, 175 sec]",FALSE
Jigging for Walleye & Pike (We found a Sunken Building!),video_0576.mp4,https://youtu.be/0IN4lypb0Fg,380,,"[255 sec, 270 sec]",FALSE
Grand Princess Cruise Ship arrives into San Francisco Bay Area,video_0577.mp4,https://youtu.be/pwGtAWV1qE0,181,,"[5 sec, 20 sec]",FALSE
IMD Issues cycolne alert along Arabian Sea as heat wave grips Odisha | Kalinga TV,video_0578.mp4,https://youtu.be/bpZFp9-u77s,373,,"[73 sec, 88 sec]",FALSE
SeaWorld Orlando to end killer-whale show next week,video_0579.mp4,https://youtu.be/dkFCC8IjL0U,114,,"[90 sec, 105 sec]",FALSE
"Orcas & Fjords, Tromsø, Norway, 14JAN2020",video_0581.mp4,https://youtu.be/udGKzhJf17s,467,,"[118 sec, 133 sec]",FALSE
Surfers cited for accessing closed beach by boat,video_0582.mp4,https://youtu.be/w2qJ7JFQKhA,116,,"[51 sec, 66 sec]",FALSE
Here's How Bradley Fighting Vehicles Work,video_0584.mp4,https://youtu.be/CF5_Q58quH0,605,,"[378 sec, 393 sec]",FALSE
SAK-V002.10 Best Places to Visit in South Africa,video_0587.mp4,https://youtu.be/BgE6rIK_Kcg,701,,"[33 sec, 48 sec]",FALSE
Beached Whales Off Redington Beach Successfully Rescued,video_0589.mp4,https://youtu.be/uHnJcomdUJw,43,,"[17 sec, 32 sec]",FALSE
The Sea Shepherds Battle Storm To Save Crew In Peril | Whale Wars,video_0590.mp4,https://youtu.be/iIv_vWPcC6g,476,,"[22 sec, 37 sec]",FALSE
VIDEO: Newborn sperm whale dies after beaching itself in Palm Beach,video_0591.mp4,https://youtu.be/oqNfj5rXj74,134,,"[84 sec, 99 sec]",FALSE
အချိန်နဲ့ပတ်သက်ပြီး သီအိုရီကို ထုတ်ခဲ့တဲ့ ဉာဏ်ကြီးရှင် စတီဗင်ဟော့ကင်း,video_0593.mp4,https://youtu.be/SBmgYkaZk1Q,403,,"[332 sec, 347 sec]",FALSE
HAWAII TRIP 2019 僕の好きなハワイ エピソード9「緑に癒されて」ウインドワードシティショッピングセンターとホオマルヒアボタアニカルガーデン,video_0594.mp4,https://youtu.be/s3OHU9uA6ok,997,,"[409 sec, 424 sec]",FALSE
Underwater footage of Pacific white-sided dolphins and northern right whale dolphins,video_0595.mp4,https://youtu.be/YZ3CTiWiCoM,57,,"[38 sec, 53 sec]",FALSE
Wave Of The Day: Pipeline,video_0597.mp4,https://youtu.be/v4j1CLIiUfA,49,,"[20 sec, 35 sec]",FALSE
Wildlife cameraman close encounter with a beached orca,video_0598.mp4,https://youtu.be/FSRXqtklheY,174,,"[122 sec, 137 sec]",FALSE
Was that a dolphin I saw in Puget Sound?,video_0599.mp4,https://youtu.be/srZUrDiO3z4,409,,"[261 sec, 276 sec]",FALSE
November 2019 Whale Watching Highlights | Auckland Whale & Dolphin Safari,video_0600.mp4,https://youtu.be/DPPVML2t3RU,30,,"[10 sec, 25 sec]",FALSE
Orcas in Calm Waters,video_0601.mp4,https://youtu.be/-p65-uZ9dpY,119,,"[100 sec, 115 sec]",FALSE
Bahia Solano Part 1- COLOMBIA'S PACIFIC COAST,video_0603.mp4,https://youtu.be/GeUlKnt2lAY,508,,"[348 sec, 363 sec]",FALSE
'She Helped People. That's What She Did': First Indiana Patient Killed by Coronavirus Leaves Behind,video_0604.mp4,https://youtu.be/nLwHFZWZbqw,107,,"[83 sec, 98 sec]",FALSE
Couple Apparently Drowns Off Far Rockaway Beach,video_0605.mp4,https://youtu.be/yWOiRH99s4M,110,,"[9 sec, 24 sec]",FALSE
The Fish That Gave Cape Cod Its Name Are All But Gone. What Happened?,video_0607.mp4,https://youtu.be/nEiJEssX4X8,194,,"[58 sec, 73 sec]",FALSE
Avengers: Endgame (2019) - A Pod of Whales In The Hudson,video_0608.mp4,https://youtu.be/-ze1bHnqOt0,24,,"[5 sec, 20 sec]",FALSE
Safari II: Cabo Verde to South Africa via Brazil,video_0610.mp4,https://youtu.be/9uWKo_0ajnw,337,,"[51 sec, 66 sec]",FALSE
ハワイに行ってきたそ。2020冬 / I went to Hawaii 2020 winter. #ハワイ旅行Vlog,video_0612.mp4,https://youtu.be/-j2UvqqeFag,723,,"[95 sec, 110 sec]",FALSE
5 Things You Need For Your Norway Winter Trip,video_0614.mp4,https://youtu.be/A0oQYJUJWE4,11,,"[8 sec, 19 sec]",FALSE
Adolescent Grizzly Hunts Elk Herd || ViralHog,video_0617.mp4,https://youtu.be/y3hSkTvFS-o,44,,"[3 sec, 18 sec]",FALSE
"Lava Heat Causing Highway 132 Project Delays (Sept. 3, 2019)",video_0618.mp4,https://youtu.be/-ogZNJy2IOY,451,,"[124 sec, 139 sec]",FALSE
DRIFTA FRASER ISLAND TRIP 2019 - COMING SOON,video_0619.mp4,https://youtu.be/ASSf3MGJLsI,71,,"[0 sec, 15 sec]",FALSE
Orcas trapped in a ‘whale jail’ in eastern Russia are on their way to freedom.,video_0620.mp4,https://youtu.be/rbF_ec0BYt4,115,,"[50 sec, 65 sec]",FALSE
Humpback whale breach 7-10-14,video_0621.mp4,https://youtu.be/I82N9I_SVmM,59,"[('0:30', '0:48')]",,TRUE
Whales-n-Sails flipper slapping humpback whales July 7/10,video_0622.mp4,https://youtu.be/bE6FxjPbYcc,78,"[('0:36', '0:50')]",,TRUE
Whales-n-Sails humpback whales July 3/10,video_0623.mp4,https://youtu.be/DIesiEj4XEw,52,"[('0:10', '0:17')]",,TRUE
"Female Humpback Whale ""Sailing"" (Maui)",video_0624.mp4,https://youtu.be/CnHl9Zr_07Y,145,"[('0:30', '0:45')]",,TRUE
"2015 Sardine Run 10, Humpback Whale",video_0625.mp4,https://youtu.be/qjg8n42JpUk,19,"[('0:00', '0:15')]",,TRUE
Humpback whale next to whale watching boat | Whale and Dolphin Conservation,video_0626.mp4,https://youtu.be/-kurcgdWyd4,140,"[('0:00', '0:15')]",,TRUE
Humpback Whales up Close!!,video_0627.mp4,https://youtu.be/1ywWjh5QIUI,86,"[('0:10', '0:25')]",,TRUE
Humpback Whale * Buckelwal * Hawaii,video_0629.mp4,https://youtu.be/Stj8HI7SGQc,148,"[('0:00', '0:15')]",,TRUE
Incredible friendly humpback whale off of San Francisco,video_0630.mp4,https://youtu.be/6GClmyvxhg8,38,"[('0:00', '0:17')]",,TRUE
Humpback Whales Out In Good Numbers,video_0631.mp4,https://youtu.be/9WLJ6hM1Fbw,173,"[('1:20', '1:35')]",,TRUE
Humpback whale mugging,video_0632.mp4,https://youtu.be/juX8DV7E6NE,471,"[('0:37', '0:52')]",,TRUE
3.14.18 BREACHING Humpback Whales,video_0633.mp4,https://youtu.be/yqtjLxGDSC4,159,"[('0:00', '0:15')]",,TRUE
Boston MA: Best Whale Watching Tours in Boston Massachusetts,video_0635.mp4,https://youtu.be/iiKMpDhTRlA,267,"[('0:00', '0:15')]",,TRUE
Humpback Whale Tail-Slapping,video_0636.mp4,https://youtu.be/hAEyA2PmEYc,19,"[('0:00', '0:15')]",,TRUE
Humpback whale calf freed from netting off Australian coast,video_0637.mp4,https://youtu.be/0RJuAEElD9Y,20,"[('0:00', '0:20')]",,TRUE
Humpback whales in Iceland,video_0638.mp4,https://youtu.be/kMzfKYxTDM8,116,"[('0:05', '0:20')]",,TRUE
Humpback whale calf rescued from beach in Australia,video_0639.mp4,https://youtu.be/-lUF2ETF_TM,54,"[('0:38', '0:53')]",,TRUE
"Humpback Whale Breaches, Maui, Hawaii",video_0640.mp4,https://youtu.be/sqHqLV1E8xw,22,"[('0:00', '0:15')]",,TRUE
Best swimming with playful humpback whales (Úszás Bálnákkal) (snorkeling in Tonga),video_0641.mp4,https://youtu.be/X55QJv8Wo84,176,"[('0:00', '0:15')]",,TRUE
Humpback Whale Sightings off Dana Point Skyrocket,video_0642.mp4,https://youtu.be/MGwOvYiaOP8,85,"[('0:00', '0:17')]",,TRUE
WHALE WATCHING IN ICELAND AND TRYING ROTTEN SHARK! PART 1.,video_0643.mp4,https://youtu.be/0UuRK25rETM,881,"[('3:09', '3:25')]",,TRUE
Humpback whale calf rescued in Australia,video_0644.mp4,https://youtu.be/LJ4p_zspisA,77,"[('0:00', '0:15')]",,TRUE
Humpback Whale Feeding Frenzy Caught on Tape,video_0645.mp4,https://youtu.be/0yVyc475xc4,39,"[('0:00', '0:15')]",,TRUE
A Family of Humpback Whales in Maui,video_0646.mp4,https://youtu.be/gDxelW5Y6kg,78,"[('0:00', '0:17')]",,TRUE
11.10.18 Humpback Whales & Risso's Dolphin,video_0647.mp4,https://youtu.be/r7Zf8PEf310,147,"[('0:00', '0:18')]",,TRUE
Best Single Month of San Diego Whale Watching Ever!,video_0648.mp4,https://youtu.be/rZRoCSDBER8,356,"[('0:00', '0:15')]",,TRUE
humpback whale playing  and breaching- shot in ECUADOR,video_0649.mp4,https://youtu.be/YyR39JW412w,92,"[('0:10', '0:25')]",,TRUE
Humpback Whales in Costa Rica- The Biggest Family on Earth,video_0651.mp4,https://youtu.be/SFdHda2_4Tw,92,"[('0:00', '0:15')]",,TRUE
Alaska: Humpback Whales bubble net feeding,video_0652.mp4,https://youtu.be/8JkyApQfDVc,123,"[('0:18', '0:33')]",,TRUE
Massive Ocean Sunfish & Feeding Humpback Whales,video_0653.mp4,https://youtu.be/_2ytLHBkxSM,109,"[('0:00', '0:17')]",,TRUE
"Humpback Whales feeding on Anchovies, Monterey Bay, 7/26/18.",video_0654.mp4,https://youtu.be/-Y2GzxS_zqg,103,"[('0:00', '0:15')]",,TRUE
5/9/16 Friendly Humpbacks and Killer Whales,video_0655.mp4,https://youtu.be/cqov5_D6StU,39,"[('0:00', '0:15')]",,TRUE
"Amazing 10-whale Humpback Whale Heat Run in Lahaina, Maui, photographed above and below the water!",video_0657.mp4,https://youtu.be/RMlmKyqQE-8,60,"[('0:00', '0:15')]",,TRUE
Beachgoers rescue beached humpback whale in Brazil,video_0658.mp4,https://youtu.be/tpfIceU52yU,52,"[('0:38', '0:53')]",,TRUE
Breaching humpback whale in New York City,video_0659.mp4,https://youtu.be/9CiXo2xIlWY,9,"[('0:00', '0:08')]",,TRUE
Humpback Whale Seen Breaching Off Brixham Devon,video_0660.mp4,https://youtu.be/-EAQOLsSuDg,76,"[('0:24', '0:40')]",,TRUE
'Born Expeditions' searches for Babuyan Islands' humpback whales | Born to be Wild,video_0661.mp4,https://youtu.be/ArR8Y8NXD1Y,202,"[('2:11', '2:20')]",,TRUE
"Stunning drone images of whales swimming down 'Humpback Highway', Australia",video_0662.mp4,https://youtu.be/oI41ib787QA,127,"[('0:00', '0:15')]",,TRUE
Cape Cod Whale Watching -humpbacks under the boat! 6/7/10,video_0664.mp4,https://youtu.be/Ip6I0PA0ETg,39,"[('0:00', '0:15')]",,TRUE
Humpback Whales Spotted in San Francisco,video_0665.mp4,https://youtu.be/ns-qxs99vcY,132,"[('0:45', '1:00')]",,TRUE
"Mating Pacific White Sided Dolphins, Risso's and Feeding Humpback Whales",video_0667.mp4,https://youtu.be/z9fgTez-21s,281,"[('0:20', '0:35')]",,TRUE
Humpback Whales in Maui - 10ft max under the zodiac boat,video_0668.mp4,https://youtu.be/45l_RwbySTc,136,"[('0:00', '0:15')]",,TRUE
2010-10-09: Trio of Humpbacks -- Best of the Day,video_0669.mp4,https://youtu.be/8fxnyr8etyE,140,"[('0:15', '0:32')]",,TRUE
"Humpback Whales- Vava’u, Tonga - BigAnimals Global Expeditions",video_0670.mp4,https://youtu.be/7oqzr9GRG7c,168,"[('0:20', '0:35')]",,TRUE
NEW Kayaking couple have extremely close encounter with humpback whales in Alaska VIDEO!,video_0671.mp4,https://youtu.be/gv6u2MnqMcs,85,"[('0:20', '0:35')]",,TRUE
Humpback Whale's Moreton Bay,video_0672.mp4,https://youtu.be/0TBVIh9jm3A,184,"[('0:14', '0:29')]",,TRUE
Kayaking with humpback whales - Stan Cook Sea Kayak Adventures 2013,video_0673.mp4,https://youtu.be/WMGAvi9aexE,242,"[('0:30', '0:45')]",,TRUE
Humpback Whales Waikoloa Kona Hawaii 2013,video_0674.mp4,https://youtu.be/HQHskmmVt5U,208,"[('0:10', '0:25')]",,TRUE
"Swimming with Humpback Whales, Dominican Republic",video_0675.mp4,https://youtu.be/9fZxoa1G4II,64,"[('0:00', '0:15')]",,TRUE
"Humpback Whales and California Sea Lions, Monterey Bay, 5/16/19.",video_0676.mp4,https://youtu.be/UbeqrUkj1ZA,65,"[('0:00', '0:15')]",,TRUE
"Humpback Whale Breaching, Dec 1st 2013, Sherkin Island, West Cork, Ireland.",video_0677.mp4,https://youtu.be/Abco79InYYk,72,"[('0:10', '0:25')]",,TRUE
Whalewatching From Boston,video_0678.mp4,https://youtu.be/0GuvNXJLg4c,356,"[('3:38', '3:53')]",,TRUE
"Humpback Whales, Monterey Bay 6/11/18",video_0679.mp4,https://youtu.be/fK5ntTEh2ow,102,"[('0:00', '0:15')]",,TRUE
WATCH: Mommy humpback whale 'thanks' rescuers after fishing line tangle,video_0680.mp4,https://youtu.be/Ai6dsKwI9nE,33,"[('0:00', '0:15')]",,TRUE
Awesome humpback whale 'mugging'  - Ocean Extreme,video_0681.mp4,https://youtu.be/VOnIS9qdYrI,87,"[('0:00', '0:17')]",,TRUE
"Humpback whale encounter, Firth of Forth, Fife, Scotland",video_0682.mp4,https://youtu.be/ciLP1Zh4Ttk,27,"[('0:05', '0:20')]",,TRUE
Whale Watching Tofino - Hug from a Humpback Whale - August 2011,video_0683.mp4,https://youtu.be/D8EtgMSOVyY,198,"[('0:00', '0:15')]",,TRUE
"Lunge feeding Humpback Whales close to the boat! Monterey Bay, 7/13/18.",video_0684.mp4,https://youtu.be/6L3gt4J8zSA,52,"[('0:00', '0:15')]",,TRUE
Humpback whale and tour boat collide,video_0685.mp4,https://youtu.be/QQccJmoETRQ,113,"[('0:00', '0:15')]",,TRUE
"Whale watching in Tromsø, Norway 30.11.2014",video_0686.mp4,https://youtu.be/LCNcad83b9A,535,"[('0:45', '1:00')]",,TRUE
Humpback whale in extreme close up,video_0687.mp4,https://youtu.be/F9JHyYp1H7Q,106,"[('0:05', '0:20')]",,TRUE
A chance encounter with a humpback whale in Rarotonga,video_0688.mp4,https://youtu.be/gaIM2sDra1E,33,"[('0:10', '0:25')]",,TRUE
Humpback Whales Monterey Bay 4/9/17,video_0689.mp4,https://youtu.be/UyixmKchF8o,66,"[('0:00', '0:20')]",,TRUE
HUMPBACKS,video_0690.mp4,https://youtu.be/WINmRk_NQ_U,530,"[('0:03', '0:18')]",,TRUE
"Humpback Whale Feeding in Pacifica, CA",video_0691.mp4,https://youtu.be/Sq1bcN4lhBU,585,"[('6:28', '6:43')]",,TRUE
Princess Monterey Whale Watching 7-7-2010 Blue and Humpback Whales,video_0692.mp4,https://youtu.be/ZVOCQpBDT24,250,"[('1:05', '1:20')]",,TRUE
Humpback Whale+Breaching+Greg McCormack,video_0693.mp4,https://youtu.be/ezzPKNRRZHY,19,"[('0:00', '0:15')]",,TRUE
RIB EXPRESS whale watching from Reykjavík,video_0694.mp4,https://youtu.be/u6Mjmnbf2uU,97,"[('0:00', '0:15')]",,TRUE
Humpback Whale Family,video_0695.mp4,https://youtu.be/Oc2EXAdhLyg,50,"[('0:15', '0:30')]",,TRUE
Close Encounter with Humpback Whales in Maui,video_0696.mp4,https://youtu.be/gparK0ENwQU,137,"[('0:45', '1:00')]",,TRUE
"Humpback whales off Aitutaki (Cook Islands), September 2015",video_0697.mp4,https://youtu.be/FFye-Mw_Vgs,40,"[('0:00', '0:15')]",,TRUE
Best of Winter Whale Watching 2019 | Capt. Dave's Whale Watching,video_0699.mp4,https://youtu.be/lPhPFGy6tKg,191,"[('0:00', '0:13')]",,TRUE
"9.10.16 Fin Whale, Humpback Whales & Risso's Dolphin #Monterey #Travel #Adventure",video_0700.mp4,https://youtu.be/A33g2rB4dfU,165,"[('0:30', '0:45')]",,TRUE
Humpback Whale Amongst Sea Lions on Monterey Bay with Sea Goddess Whale Watching,video_0702.mp4,https://youtu.be/3nOe6Fx7tjo,86,"[('0:19', '0:34')]",,TRUE
Cabo Expeditions Helps Untangle Humpback Whale Caught in Fishing Net,video_0704.mp4,https://youtu.be/BTDHchOFcRE,239,"[('0:30', '0:45')]",,TRUE
Moss Landing Whale Watching,video_0706.mp4,https://youtu.be/67MMQVgghDw,27,"[('0:05', '0:20')]",,TRUE
Whales playing in 4K | EPIC DRONE FOOTAGE | Umdloti Beach |,video_0707.mp4,https://youtu.be/2A-jlm92ib4,195,"[('0:15', '0:30')]",,TRUE
Central vs. Rutland: Thursday night high school football highlights,video_0708.mp4,https://youtu.be/7ukt0KF0Hws,101,,"[46 sec, 61 sec]",FALSE
Viral!!Huge Whale Shark Asking Help From Sarawak's Fisherman!,video_0709.mp4,https://youtu.be/Bc-ser8bCHs,189,,"[120 sec, 135 sec]",FALSE
NC fishing pier battered in aftermath of Dorian,video_0710.mp4,https://youtu.be/nqFiDTwAnkk,170,,"[123 sec, 138 sec]",FALSE
Leonardo DiCaprio envía MENSAJE a Presidente Vizcarra,video_0711.mp4,https://youtu.be/hFjceMXVdIo,96,,"[36 sec, 51 sec]",FALSE
Hawaii Five-0 - Series Finale | CBS (April 3/2020),video_0712.mp4,https://youtu.be/VIdaSVlLTlU,47,,"[26 sec, 41 sec]",FALSE
Fourth of July: Thousands descend on the San Diego coast,video_0713.mp4,https://youtu.be/F1J4Aw4zUpM,172,,"[58 sec, 73 sec]",FALSE
Ovation of The Seas - Series Trailer,video_0714.mp4,https://youtu.be/bL6KnriZf4k,57,,"[28 sec, 43 sec]",FALSE
Gabon : Ouverture du 1er Point de vente GRAINE,video_0715.mp4,https://youtu.be/zzucIi916W4,198,,"[1 sec, 16 sec]",FALSE
The Hill to Hill Bridge - Scuba Diving - Clean Up - STILLFIN,video_0716.mp4,https://youtu.be/2-da4G1PVRo,668,,"[419 sec, 434 sec]",FALSE
Ovation of the Seas: North Star in Icy Strait Point - 05/16/2019,video_0717.mp4,https://youtu.be/pqCNjgy9gyk,614,,"[265 sec, 280 sec]",FALSE
Property for sale in Puerto del Carmen  Lanzarote  Ref 2283,video_0718.mp4,https://youtu.be/favMGnCOwdw,77,,"[15 sec, 30 sec]",FALSE
"Polar Plunge 2020 VA Beach, Virginia. Plunge Virginia",video_0719.mp4,https://youtu.be/PBPpCH3WEoQ,152,,"[56 sec, 71 sec]",FALSE
Croc TEAMBUSTING + PD Gameplay + MORE! - Deeeep.io Funny Moments,video_0722.mp4,https://youtu.be/HvWpQX-oOkI,213,,"[2 sec, 17 sec]",FALSE
Man frees seal from fishing net,video_0723.mp4,https://youtu.be/xxPU8EtJSZQ,57,,"[18 sec, 33 sec]",FALSE
Rapid Ohia Death detected on Maui,video_0724.mp4,https://youtu.be/H7owpyb7Jsk,30,,"[4 sec, 19 sec]",FALSE
جرمنی میں جدید ایجادات کی تربیت کیسے دی جا رہی ہے,video_0725.mp4,https://youtu.be/Ld8b6aya8-8,244,,"[208 sec, 223 sec]",FALSE
A Winter Day at Point Pleasant Beach NJ,video_0726.mp4,https://youtu.be/AxibvjtDf5g,180,,"[85 sec, 100 sec]",FALSE
"Costa Rica, pura vida! Don't cancel, postpone.",video_0727.mp4,https://youtu.be/kVLq0g3Mtwk,60,,"[42 sec, 57 sec]",FALSE
"Rain, warm weather affecting crops in Virginia Beach",video_0728.mp4,https://youtu.be/qhdXrMDeVF8,121,,"[18 sec, 33 sec]",FALSE
Khana Kabah Tawaf   | Makah,video_0729.mp4,https://youtu.be/8QEwzBxTdLo,100,,"[77 sec, 92 sec]",FALSE
Beer and wine available on select BC Ferries,video_0730.mp4,https://youtu.be/U-MD4Y39nUg,153,,"[79 sec, 94 sec]",FALSE
Lake Michigan Overflows Onto Roads During Michigan Floods,video_0731.mp4,https://youtu.be/gN98PBRNhqs,87,,"[2 sec, 17 sec]",FALSE
Calf takes his first wobbly steps while mom looks on,video_0732.mp4,https://youtu.be/7kr1xnsbgfY,98,,"[28 sec, 43 sec]",FALSE
Hilmonkoski elokuun viimeinen vkloppu,video_0733.mp4,https://youtu.be/DaL8yLc0wlw,1040,,"[519 sec, 534 sec]",FALSE
Can You Become King Of Kings By Singing Deeeep.io Humpback Whale!,video_0734.mp4,https://youtu.be/IY-rtOViekU,559,,"[20 sec, 35 sec]",FALSE
Timelapse shows snowstorm engulfing Turkish coast,video_0735.mp4,https://youtu.be/6V6oLRAZREs,19,,"[1 sec, 16 sec]",FALSE
Whale calf found dead in Hawaii mass stranding,video_0736.mp4,https://youtu.be/hje_vkXHSDU,72,,"[51 sec, 66 sec]",FALSE
Sea Shepherd Pilot Finally Locates Main Japanese Whalers Ship | Whale Wars,video_0737.mp4,https://youtu.be/QEv5L_WZYy4,420,,"[310 sec, 325 sec]",FALSE
"Rare and Extraordinary Encounter with a Bryde's Whale in Drake Bay, Costa Rica",video_0738.mp4,https://youtu.be/SPazfN5MotA,284,,"[14 sec, 29 sec]",FALSE
Seeing 2000 Dolphins on the Condor Express!,video_0739.mp4,https://youtu.be/KAsO0UIWnso,46,,"[14 sec, 29 sec]",FALSE
Playful whale nudges tourist boat  in Mexico| CCTV English,video_0740.mp4,https://youtu.be/SgGl_LVcPHU,20,,"[3 sec, 18 sec]",FALSE
10 The Best Places to Visit in South Africa,video_0741.mp4,https://youtu.be/BMXmbjVoKQY,668,,"[613 sec, 628 sec]",FALSE
SwellPro Splashdrone 3+ for Boating: Filming Whales & Fishing,video_0742.mp4,https://youtu.be/M_W9zswV_ik,183,,"[160 sec, 175 sec]",FALSE
Timeline: How the whale rescue unfolded,video_0743.mp4,https://youtu.be/pNrhEBRNK88,74,,"[45 sec, 60 sec]",FALSE
The Best Moments | Short Film Azores,video_0744.mp4,https://youtu.be/Aml8oCoLwTk,217,,"[75 sec, 90 sec]",FALSE
Navy T-28 Crash Site and Aircraft Wreckage – Humpback Mountain – Appalachian Trail Virginia,video_0745.mp4,https://youtu.be/9Ef05x10nU8,527,,"[229 sec, 244 sec]",FALSE
4K Drone Video of Gray Whale in the surf at Point Dume in Malibu CA.,video_0746.mp4,https://youtu.be/0GVLWAHjQQM,241,,"[200 sec, 215 sec]",FALSE
"Bryde's whales in Raja Ampat, Indonesia - Oceanic Society expedition",video_0747.mp4,https://youtu.be/2bddgEQWYc4,46,,"[9 sec, 24 sec]",FALSE
"Bermuda Newsflash For Wednesday, April 1, 2020",video_0748.mp4,https://youtu.be/GLqKMAq1Og8,163,,"[92 sec, 107 sec]",FALSE
Hundreds of blue whale bones need cleaning,video_0749.mp4,https://youtu.be/rv7bUFEyaJs,62,,"[16 sec, 31 sec]",FALSE
